Param,iteration 1,iteration 2,Mean,Std,Median,Best,Simulated
,,,,,,,
G,0.601622998714447,0.5996338725090027,0.6006284356117249,0.000994563102722168,0.6006284356117249,0.5996338725090027,0.6
η1,-0.07398180663585663,-0.9490126371383667,-0.5114971995353699,0.43751540780067444,-0.5114971995353699,-0.9490126371383667,-0.2684635
η2,-1.7879116535186768,0.9555079340934753,-0.4162018597126007,1.3717098236083984,-0.4162018597126007,0.9555079340934753,-0.18617143
η3,1.0914803743362427,0.34589090943336487,0.7186856269836426,0.3727947473526001,0.7186856269836426,0.34589090943336487,-0.14786321
η4,1.475937008857727,0.5210092067718506,0.9984731078147888,0.47746390104293823,0.9984731078147888,0.5210092067718506,-0.031646423
η5,0.14339502155780792,-0.1779654622077942,-0.017285220324993134,0.16068023443222046,-0.017285220324993134,-0.1779654622077942,0.0779195
η6,0.7203472852706909,-0.9043180346488953,-0.09198537468910217,0.8123326301574707,-0.09198537468910217,-0.9043180346488953,0.10939988
η7,0.6930797696113586,-0.6253971457481384,0.03384131193161011,0.6592384576797485,0.03384131193161011,-0.6253971457481384,-0.027793339
η8,-0.7605936527252197,-0.3865126967430115,-0.573553204536438,0.18704047799110413,-0.573553204536438,-0.3865126967430115,-0.062120967
η9,-0.6585690975189209,-0.5385833978652954,-0.5985762476921082,0.059992849826812744,-0.5985762476921082,-0.5385833978652954,0.011214985
η10,-0.16024553775787354,-0.7615031003952026,-0.4608743190765381,0.30062878131866455,-0.4608743190765381,-0.7615031003952026,0.09392758
η11,1.7010581493377686,-0.3304523229598999,0.6853029131889343,1.0157551765441895,0.6853029131889343,-0.3304523229598999,-0.050574187
η12,-0.5144028067588806,-0.25814226269721985,-0.3862725496292114,0.12813027203083038,-0.3862725496292114,-0.25814226269721985,0.4821734
ζ1,0.6313422322273254,-0.6773922443389893,-0.02302500605583191,0.654367208480835,-0.02302500605583191,-0.6773922443389893,0.47401717
ζ2,0.28367048501968384,-1.2197787761688232,-0.4680541455745697,0.7517246007919312,-0.4680541455745697,-1.2197787761688232,0.24595481
ζ3,0.8324074745178223,0.4301353991031647,0.6312714219093323,0.2011360377073288,0.6312714219093323,0.4301353991031647,-0.12887983
ζ4,-0.05536085367202759,-0.0038913681637495756,-0.029626110568642616,0.02573474310338497,-0.029626110568642616,-0.0038913681637495756,0.002132588
ζ5,0.7065746188163757,-0.6774024367332458,0.014586091041564941,0.6919885277748108,0.014586091041564941,-0.6774024367332458,0.03413884
ζ6,1.240509271621704,-0.18070432543754578,0.529902458190918,0.7106068134307861,0.529902458190918,-0.18070432543754578,0.063809656
ζ7,-0.00026761891786009073,-0.008315342478454113,-0.004291480872780085,0.004023862071335316,-0.004291480872780085,-0.008315342478454113,0.00036508634
ζ8,-0.9323561787605286,-0.7957109212875366,-0.864033579826355,0.06832262873649597,-0.864033579826355,-0.7957109212875366,0.2887173
ζ9,0.6125699877738953,-1.714624047279358,-0.5510270595550537,1.1635971069335938,-0.5510270595550537,-1.714624047279358,-0.08443598
γ1,0.19542428851127625,-0.26934191584587097,-0.03695881366729736,0.2323831021785736,-0.03695881366729736,-0.26934191584587097,0.4194712
γ2,0.07054401189088821,0.5277144312858582,0.2991292178630829,0.22858521342277527,0.2991292178630829,0.5277144312858582,1.0931884
γ3,1.2543482780456543,0.6872110962867737,0.9707796573638916,0.2835685908794403,0.9707796573638916,0.6872110962867737,0.53834134
γ4,0.5498103499412537,0.6603452563285828,0.6050778031349182,0.05526745319366455,0.6050778031349182,0.6603452563285828,0.5817132
γ5,-0.1669653207063675,-0.5321648716926575,-0.3495650887489319,0.18259978294372559,-0.3495650887489319,-0.5321648716926575,0.017929403
γ6,0.34681105613708496,1.9804821014404297,1.1636465787887573,0.8168355226516724,1.1636465787887573,1.9804821014404297,-0.17302857
